series_id,date,value,description
DTWEXBGS,2022-10-03,127.0813,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-04,126.1819,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-05,126.8616,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-06,127.2493,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-07,127.3111,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-11,127.6641,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-12,128.1481,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-13,127.7286,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-14,128.3325,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-17,127.6448,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-18,127.9153,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-19,128.3968,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-20,128.0052,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-21,127.6735,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-24,128.0304,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-25,127.3771,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-26,126.4723,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-27,126.7028,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-28,127.2135,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-10-31,127.6219,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-01,127.3987,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-02,127.3115,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-03,128.1743,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-04,127.1468,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-07,126.3062,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-08,125.633,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-09,125.9861,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-10,124.7044,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-14,123.4277,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-15,123.039,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-16,123.2817,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-17,123.977,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-18,123.8524,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-21,124.7009,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-22,124.2365,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-23,123.7574,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-25,123.3386,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-28,123.6032,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-29,123.6615,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-11-30,123.5175,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-01,122.0045,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-02,122.0102,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-05,122.6384,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-06,123.0191,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-07,122.7608,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-08,122.4152,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-09,122.4201,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-12,122.7714,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-13,121.8493,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-14,121.8226,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-15,122.5519,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-16,122.6505,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-19,122.5275,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-20,122.1357,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-21,122.2828,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-22,122.2419,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-23,121.9743,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-27,121.7539,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-28,122.0075,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-29,121.6577,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-12-30,121.4256,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-03,122.0905,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-04,121.5008,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-05,122.1017,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-06,121.0852,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-09,120.1508,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-10,120.2483,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-11,120.1614,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-12,119.4218,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-13,119.1673,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-17,119.2121,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-18,119.0755,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-19,119.6107,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-20,119.3486,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-23,119.1434,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-24,119.0958,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-25,118.9686,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-26,119.021,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-27,118.9223,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-30,118.8953,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-01-31,118.9802,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-01,118.6259,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-02,118.3421,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-03,119.5095,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-06,120.541,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-07,120.3475,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-08,120.1436,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-09,119.9781,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-10,120.1419,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-13,119.9828,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-14,119.9229,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-15,120.4557,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-16,120.4651,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-17,120.5526,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-21,120.6256,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-22,120.8389,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-23,121.0896,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-24,121.5681,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-27,121.3941,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-02-28,121.3341,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-01,120.6347,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-02,121.1302,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-03,120.7742,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-06,120.485,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-07,121.4623,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-08,121.4511,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-09,121.4458,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-10,121.2421,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-13,120.8897,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-14,121.0141,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-15,122.1079,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-16,121.7221,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-17,121.5643,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-20,121.0141,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-21,120.8958,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-22,120.6217,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-23,119.7587,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-24,120.4598,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-27,120.2541,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-28,119.7138,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-29,119.7258,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-30,119.4078,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-03-31,119.3602,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-03,119.3204,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-04,119.142,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-05,119.2953,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-06,119.3072,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-07,119.3547,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-10,119.7948,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-11,119.5248,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-12,119.003,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-13,118.3915,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-14,118.8567,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-17,119.2787,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-18,119.1049,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-19,119.303,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-20,119.1199,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-21,119.3117,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-24,119.2039,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-25,119.613,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-26,119.3228,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-27,119.4298,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-04-28,119.2248,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-01,119.4435,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-02,119.6105,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-03,119.1233,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-04,119.0465,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-05,118.5548,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-08,118.5759,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-09,118.8239,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-10,118.5864,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-11,119.0303,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-12,119.3671,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-15,119.1608,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-16,119.1743,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-17,119.607,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-18,120.0886,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-19,119.7751,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-22,120.0875,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-23,120.3204,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-24,120.4752,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-25,120.8413,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-26,120.6304,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-30,120.5546,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-05-31,120.9662,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-01,120.0491,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-02,120.0049,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-05,120.0048,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-06,119.9718,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-07,119.859,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-08,119.5712,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-09,119.4322,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-12,119.6376,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-13,119.1899,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-14,118.776,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-15,118.5521,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-16,118.4184,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-20,118.938,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-21,118.727,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-22,118.7552,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-23,119.152,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-26,119.0761,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-27,118.8949,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-28,119.3382,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-29,119.527,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-06-30,119.3606,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-03,119.2119,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-05,119.3483,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-06,119.8193,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-07,119.0761,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-10,118.9548,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-11,118.7344,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-12,117.6385,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-13,117.1831,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-14,117.0463,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-17,117.1267,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-18,117.0264,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-19,117.3462,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-20,117.5947,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-21,117.9418,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-24,117.8124,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-25,117.8565,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-26,117.76,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-27,117.8938,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-28,117.788,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-07-31,117.8241,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-01,118.5738,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-02,119.1268,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-03,119.3963,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-04,118.821,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-07,119.0809,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-08,119.6407,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-09,119.476,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-10,119.1581,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-11,119.6268,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-14,120.0725,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-15,120.2127,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-16,120.3551,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-17,120.5242,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-18,120.4321,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-21,120.4627,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-22,120.3554,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-23,120.0307,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-24,120.2354,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-25,120.5137,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-28,120.3155,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-29,120.2669,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-30,119.7937,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-08-31,120.225,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-01,120.759,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-05,121.4345,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-06,121.8671,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-07,121.9528,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-08,121.9475,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-11,121.3386,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-12,121.2913,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-13,121.0549,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-14,121.2395,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-15,121.199,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-18,121.1938,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-19,121.1645,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-20,120.9648,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-21,121.5528,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-22,121.5306,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-25,122.1143,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-26,122.4742,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-27,122.9895,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-28,122.5342,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-09-29,122.3077,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-02,123.0545,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-03,123.7848,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-04,123.5946,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-05,123.8993,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-06,123.3563,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-10,122.9282,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-11,122.7697,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-12,123.2101,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-13,123.5954,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2023-10-16,123.3185,Trade Weighted US Dollar Index (Daily)
